Shop_name,Products,Chart_Performance,Rating,Followers,Rating_bad,Rating_good,Rating_normal
DilaCouture Official Store,39,88,4.904855,7330,96,26221,390
Ummidaddy,34,86,4.910052,3111,52,14143,199
MSH shop.my,92,98,4.964308,29488,43,68402,391
Aully collection,50,91,4.942408,2654,3,1039,9
originalshoe_0162059229,586,88,4.901425,22969,183,35244,634
Ohhbeli Malaysia,79,97,4.917177,24726,175,54557,768
xuantw.my,377,88,4.858886,6896,219,31453,974
Triple Best Sports Malay Official ,65,98,4.88097,3965,99,16244,329
Nuanyun Fashion Store,390,99,4.816472,35154,291,27245,1177
Al Arab Scarf,94,89,4.868097,13033,501,54870,1427
hurindiyanah,8,87,4.924449,11307,10,2346,29
Boutiquemall,693,99,4.878538,11161,113,18325,423
Inaya Fashion,277,98,4.799455,110385,1289,100031,4363
YueLove,37,99,4.842557,4714,57,6016,205
My_Fashion,21,97,4.939338,5727,19,12345,125
Mother loves baby.my,1192,86,4.866178,7782,66,9946,296
lilies.vintage,5,93,4.99084,18617,0,2466,1
jjzueworld,4,75,4.949638,47716,4,3718,36
chataher,12,68,4.932222,14917,12,2412,23
Boutique City,65,93,4.917088,3759,13,4869,79
Celmia Official Store,2948,97,4.886634,51976,114,18844,428
娜娜制服诱惑馆,1280,79,4.761837,6507,147,6311,289
Beautyone,5648,95,4.728731,190441,10115,506123,29873
HER BAJU 👗,210,99,4.965818,41333,13,18912,122
allbuy.my,6365,94,4.769652,25078,894,47477,2109
syaabella.shop,43,98,4.950703,16292,26,28239,274
ifhaz.closet,20,100,4.964206,1371,1,2326,15
Amoree Vogue,252,99,4.95851,22225,18,15200,125
Rainbow.House,815,100,4.723276,26995,785,33851,2160
Vangart MY,9,100,4.989333,933,0,623,2
soldmax.my,1818,67,4.814276,12086,268,17289,617
McZarraFashion,3,93,4.978417,5292,1,1081,4
kebayabali_id.my,101,100,4.913669,2883,12,2727,54
Dragonfly_MY,142,99,4.826504,4111,59,5290,200
PALACEDUNK OFFICAL STORE,870,92,4.799025,12052,383,25843,1151
Nisley Collection,67,100,4.86313,37670,423,53950,1502
Gadis Cun,315,87,4.867591,22256,243,26658,727
neiyi.my,424,89,4.907922,1491,35,8300,160
Royallove.st,382,97,4.836229,13913,91,10775,393
TheBono Store,10,99,4.976843,17562,5,4679,14
qaifa_shoppe,74,88,4.952572,13107,3,2672,27
LK FASHION,82,99,4.95154,1319,1,2731,33
tsfitland.my,1322,98,4.890857,14887,90,23812,551
twicenice_,9,91,4.909677,9694,4,1819,42
Saloni,574,60,4.82774,4112,69,6641,245
VictoryMall,140,100,4.947306,14354,54,30218,307
Ai.Store.Concept,6,99,4.977134,35610,2,3064,7
Korean House,3268,100,4.849528,155278,1091,127315,4058
♀Korean clothes♀,2431,98,4.794096,117917,2284,155618,6612
Amore Secret,139,100,4.959447,5834,16,24096,207
Warm Station,5080,96,4.832467,150541,5385,432799,13382
nadiahaqilah98,18,97,4.949553,14141,12,4148,38
airina.shop,27,93,4.790712,5539,152,9451,425
color_sew.my,489,5,4.869524,10864,336,44411,1134
LIANGZHUO'S HOME,636,97,4.905305,15087,135,27628,555
OXWHITE Official Store,67,100,4.926666,29319,208,68172,899
Vivilee Boutique,219,100,4.930645,23880,59,34168,434
Qeesyara Boutique,7,97,4.905727,33147,47,6665,105
UTP.My,287,99,4.887779,43450,349,64953,1547
mdamshamn,35,90,4.976207,19466,4,5084,12
eenatasleema.co,10,87,4.899914,14737,10,2525,48
💦Dressingup--Women Clothes💦,2436,99,4.725636,39566,1642,65761,3598
alonso.my,2196,97,4.896454,1944,14,2091,48
Cikey.my,15,100,4.873435,1669,25,2345,47
LieLieLovers Store,16,94,4.978543,18718,0,2241,12
Triple C Trade,82,99,4.921162,12388,58,14414,211
HaurabelleHQ,14,95,4.946837,9131,16,5291,40
VIVI MALL,464,88,4.804144,41201,1368,80650,2927
novelsocks.my,146,84,4.95112,11899,150,80258,603
la_bello,773,39,4.678105,61419,6191,183302,10851
Women & Beauty Care Online Shop,282,96,4.8486,10188,116,15676,524
DNY LEGACY🛍,25,99,4.958728,4526,5,4567,34
UBABY,203,99,4.947641,52465,203,75361,726
NeeBikini,269,95,4.942807,16892,91,44764,424
BubbleDay.my,226,73,4.888331,5863,57,7048,160
catfish.my,1143,98,4.876246,24674,73,13086,370
DYCfashion.my,69,99,4.88732,5475,12,3543,101
UNIQ TRADING,118,48,4.905807,16658,54,17227,390
3W Clinic.MY ,103,94,4.933319,10918,35,13638,190
YOUNGEST LAND,140,99,4.846767,18276,161,26760,986
xiaofeisecret,57,98,4.917534,4533,22,6022,102
MR MURAH ONLINE,174,96,4.873325,26284,740,94517,2558
Adeenda.co,8,88,4.967589,12961,2,1668,10
ohgadisboutique,34,95,4.961026,30649,6,9985,72
ONE TO PLUS,64,97,4.950345,1542,2,788,8
CH Fashion Online,292,100,4.907499,84010,1131,244799,4514
(FELLO SHOP),585,99,4.934977,14471,118,86365,1032
kawsss.my,282,57,4.7595,1554,32,1989,115
milanda Men's Casual Hoodie,968,44,4.751913,12560,485,28640,1701
jussyval,38,96,4.984409,1410,50,43959,78
miborong,101,87,4.928238,8473,89,33112,442
RyShop,31,83,4.959465,25225,17,8134,41
"Shop , Factory store ,Wholesale",649,53,4.727098,10266,332,14545,875
15875452692.my,258,100,4.92777,7812,12,5543,75
dinie1,139,79,4.878412,3523,124,13438,284
Lemonmall,93,100,4.922836,2303,19,6509,90
